home_score,away_score,home_team,away_team,date,win_score,lost_score
22,4,Amherst College,UMass,1892-11-05T00:00:00.000Z,22,4
38,0,Illinois,Englewood High,1892-11-05T00:00:00.000Z,38,0
60,8,Michigan,Albion,1892-11-05T00:00:00.000Z,60,8
48,12,Navy,Rutgers,1892-11-05T00:00:00.000Z,48,12
68,0,Purdue,Indiana,1892-11-05T00:00:00.000Z,68,0
6,6,Rutgers,Columbia A.C.,1892-11-07T00:00:00.000Z,6,6
44,0,Cornell,Michigan,1892-11-08T00:00:00.000Z,44,0
18,12,Minnesota,Northwestern,1892-11-08T00:00:00.000Z,18,12
12,12,UMass,Mount Hermon,1892-11-12T00:00:00.000Z,12,12
18,10,Michigan,Chicago,1892-11-12T00:00:00.000Z,18,10
0,18,Lake Forest,Northwestern,1892-11-12T00:00:00.000Z,18,0
10,4,Chicago,Illinois,1892-11-16T00:00:00.000Z,10,4
34,0,Illinois,DePauw,1892-11-18T00:00:00.000Z,34,0
14,0,Army,Princeton A.C.,1892-11-19T00:00:00.000Z,14,0
26,24,Michigan,Oberlin,1892-11-19T00:00:00.000Z,26,24
40,0,Navy,Georgetown,1892-11-19T00:00:00.000Z,40,0
38,0,Purdue,Chicago,1892-11-19T00:00:00.000Z,38,0
18,16,Springfield,UMass,1892-11-19T00:00:00.000Z,18,16
6,26,Northwestern,Wisconsin,1892-11-19T00:00:00.000Z,26,6
10,30,Michigan,Cornell,1892-11-22T00:00:00.000Z,30,10
18,0,Penn State,Lafayette,1892-11-23T00:00:00.000Z,18,0
28,12,Illinois,Chicago,1892-11-24T00:00:00.000Z,28,12
6,32,DePauw,Purdue,1892-11-24T00:00:00.000Z,32,6
20,6,Wisconsin,Northwestern,1892-11-24T00:00:00.000Z,20,6
12,46,UMass,Harvard Freshmen,1892-11-26T00:00:00.000Z,46,12
4,12,Army,Navy,1892-11-26T00:00:00.000Z,12,4
0,50,Syracuse,Cornell,1893-09-30T00:00:00.000Z,50,0
60,6,Illinois,Wabash College,1893-09-30T00:00:00.000Z,60,6
0,26,UMass,Mount Hermon,1893-09-30T00:00:00.000Z,26,0
4,6,Army,Volunteer A.C.,1893-09-30T00:00:00.000Z,6,4
0,8,Northwestern,Denver A.C.,1893-10-04T00:00:00.000Z,8,0
0,6,Boston College,MIT,1893-10-04T00:00:00.000Z,6,0
16,0,Worcester Polytechnic,UMass,1893-10-04T00:00:00.000Z,16,0
36,0,Army,Lafayette,1893-10-07T00:00:00.000Z,36,0
4,14,DePauw,Illinois,1893-10-07T00:00:00.000Z,14,4
6,0,Michigan,Detroit A.C.,1893-10-07T00:00:00.000Z,6,0
26,0,Amherst College,UMass,1893-10-11T00:00:00.000Z,26,0
0,34,Navy,Pennsylvania,1893-10-11T00:00:00.000Z,34,0
22,0,Chicago A.C.,Wisconsin,1893-10-14T00:00:00.000Z,22,0
0,18,Army,Lehigh,1893-10-14T00:00:00.000Z,18,0
0,26,Detroit A.C.,Michigan,1893-10-14T00:00:00.000Z,26,0
12,6,Minnesota,Kansas,1893-10-14T00:00:00.000Z,12,6
64,0,Purdue,Indiana,1893-10-14T00:00:00.000Z,64,0
12,18,UMass,Wesleyan (CT),1893-10-14T00:00:00.000Z,18,12
12,6,Chicago,Northwestern,1893-10-18T00:00:00.000Z,12,6
12,4,Army,Amherst College,1893-10-21T00:00:00.000Z,12,4
10,6,Chicago,Michigan,1893-10-21T00:00:00.000Z,10,6
0,0,Illinois,Northwestern,1893-10-21T00:00:00.000Z,0,0
36,6,Minnesota,Grinnell,1893-10-21T00:00:00.000Z,36,6
96,0,Purdue,Butler,1893-10-21T00:00:00.000Z,96,0
24,0,Wisconsin,Lake Forest,1893-10-21T00:00:00.000Z,24,0
2,16,UMass,Amherst College,1893-10-25T00:00:00.000Z,16,2
6,10,Hamline,Minnesota,1893-10-25T00:00:00.000Z,10,6
18,6,Pennsylvania,Penn State,1893-10-25T00:00:00.000Z,18,6
20,10,Purdue,Chicago,1893-10-25T00:00:00.000Z,20,10
12,12,Lake Forest,Northwestern,1893-10-27T00:00:00.000Z,12,12
26,0,Chicago,Cincinnati,1893-10-28T00:00:00.000Z,26,0
4,10,Illinois,Chicago A.C.,1893-10-28T00:00:00.000Z,10,4
6,12,Navy,Lehigh,1893-10-28T00:00:00.000Z,12,6
38,0,UMass,Williston,1893-10-28T00:00:00.000Z,38,0
20,34,Michigan,Minnesota,1893-10-28T00:00:00.000Z,34,20
18,0,Wisconsin,Beloit College,1893-10-28T00:00:00.000Z,18,0
0,28,Army,Yale,1893-10-28T00:00:00.000Z,28,0
0,16,Northwestern,Minnesota,1893-10-30T00:00:00.000Z,16,0
6,0,Army,Union (NY),1893-11-04T00:00:00.000Z,6,0
10,6,Northwestern,Beloit College,1893-11-04T00:00:00.000Z,10,6
48,8,Purdue,Wabash College,1893-11-04T00:00:00.000Z,48,8
18,34,Michigan,Wisconsin,1893-11-04T00:00:00.000Z,34,18
16,0,Yale Freshmen,UMass,1893-11-04T00:00:00.000Z,16,0
24,34,Illinois,Oberlin,1893-11-06T00:00:00.000Z,34,24
6,6,Chicago,Northwestern,1893-11-08T00:00:00.000Z,6,6
18,11,Army,Trinity (CT),1893-11-11T00:00:00.000Z,18,11
18,16,Illinois,Pastime A.C.,1893-11-11T00:00:00.000Z,18,16
8,46,Purdue,Michigan,1893-11-11T00:00:00.000Z,46,8
40,0,Minnesota,Wisconsin,1893-11-11T00:00:00.000Z,40,0
54,0,Mount Hermon,UMass,1893-11-11T00:00:00.000Z,54,0
38,22,Northwestern,Lake Forest,1893-11-11T00:00:00.000Z,38,22
0,34,DePauw,Michigan,1893-11-13T00:00:00.000Z,34,0
72,6,Michigan,Northwestern,1893-11-18T00:00:00.000Z,72,6
4,36,Army,Princeton,1893-11-18T00:00:00.000Z,36,4
6,18,UMass,Springfield,1893-11-18T00:00:00.000Z,18,6
36,30,Wisconsin,Purdue,1893-11-18T00:00:00.000Z,36,30
26,26,Illinois,Purdue,1893-11-25T00:00:00.000Z,26,26
34,0,Lehigh,North Carolina,1893-11-25T00:00:00.000Z,34,0
0,22,Kansas,Michigan,1893-11-25T00:00:00.000Z,22,0
46,6,Springfield,UMass,1893-11-25T00:00:00.000Z,46,6
10,10,Lake Forest,Illinois,1893-11-30T00:00:00.000Z,10,10
10,28,Chicago,Michigan,1893-11-30T00:00:00.000Z,28,10
42,18,Purdue,DePauw,1893-11-30T00:00:00.000Z,42,18
6,4,Navy,Army,1893-12-02T00:00:00.000Z,6,4
22,14,Chicago,Northwestern,1893-12-16T00:00:00.000Z,22,14
8,0,Chicago,Notre Dame,1894-01-01T00:00:00.000Z,8,0
39,0,Cornell,Syracuse,1894-09-26T00:00:00.000Z,39,0
6,0,Amherst College,UMass,1894-09-29T00:00:00.000Z,6,0
24,0,Lehigh,Rutgers,1894-09-29T00:00:00.000Z,24,0
18,0,Army,Amherst College,1894-10-06T00:00:00.000Z,18,0
46,0,Chicago,Northwestern,1894-10-06T00:00:00.000Z,46,0
6,36,Wabash College,Illinois,1894-10-06T00:00:00.000Z,36,6
16,10,UMass,Mount Hermon,1894-10-06T00:00:00.000Z,16,10
12,12,Michigan Military Academy,Michigan,1894-10-06T00:00:00.000Z,12,12
6,4,Purdue,Indianapolis Artillery,1894-10-06T00:00:00.000Z,6,4
12,10,Rutgers,Lafayette,1894-10-06T00:00:00.000Z,12,10
22,4,Wisconsin,Chicago A.C.,1894-10-06T00:00:00.000Z,22,4
48,0,Princeton,Rutgers,1894-10-10T00:00:00.000Z,48,0
14,0,Northwestern,Evanston High,1894-10-11T00:00:00.000Z,14,0
0,10,Army,Brown,1894-10-13T00:00:00.000Z,10,0
14,0,Chicago A.C.,Illinois,1894-10-13T00:00:00.000Z,14,0
24,6,Lake Forest,Northwestern,1894-10-13T00:00:00.000Z,24,6
26,10,Michigan,Albion,1894-10-13T00:00:00.000Z,26,10
12,0,Princeton,Virginia,1894-10-13T00:00:00.000Z,12,0
0,30,Butler,Purdue,1894-10-13T00:00:00.000Z,30,0
10,0,Trinity (CT),UMass,1894-10-13T00:00:00.000Z,10,0
0,6,Wisconsin,Purdue,1894-10-15T00:00:00.000Z,6,0
48,0,Michigan,Olivet,1894-10-17T00:00:00.000Z,48,0
12,0,Northwestern,Evanston High,1894-10-17T00:00:00.000Z,12,0
42,0,Army,MIT,1894-10-20T00:00:00.000Z,42,0
42,6,Beloit College,Northwestern,1894-10-20T00:00:00.000Z,42,6
54,6,Illinois,Lake Forest,1894-10-20T00:00:00.000Z,54,6
0,12,Wesleyan (CT),UMass,1894-10-20T00:00:00.000Z,12,0
