home_score,away_score,home_team,away_team,date,win_score,lost_score
11,10,Illinois,Minnesota,1898-11-24T00:00:00.000Z,11,10
36,5,Buffalo,Bucknell,1898-11-24T00:00:00.000Z,36,5
17,12,Cincinnati,Dartmouth,1898-11-24T00:00:00.000Z,17,12
29,5,Notre Dame,Englewood High,1899-09-27T00:00:00.000Z,29,5
5,24,Lake Forest Academy,Northwestern,1899-10-04T00:00:00.000Z,24,5
33,0,Iowa State,Nebraska,1899-10-06T00:00:00.000Z,33,0
30,5,Purdue,Earlham,1899-10-07T00:00:00.000Z,30,5
33,6,Pennsylvania,Virginia,1899-10-11T00:00:00.000Z,33,6
16,5,Trinity (CT),UMass,1899-10-21T00:00:00.000Z,16,5
17,5,Wisconsin,Wisconsin Alumni,1899-11-04T00:00:00.000Z,17,5
0,19,Minnesota,Wisconsin,1899-11-18T00:00:00.000Z,19,0
7,18,Dickinson,Syracuse,1899-11-22T00:00:00.000Z,18,7
24,9,Michigan,Kalamazoo,1899-11-25T00:00:00.000Z,24,9
64,5,Duquesne A.C.,Penn State,1899-11-25T00:00:00.000Z,64,5
55,0,Notre Dame,Goshen,1900-09-29T00:00:00.000Z,55,0
63,0,Illinois,DePauw,1900-10-03T00:00:00.000Z,63,0
28,5,Purdue,DePauw,1900-10-13T00:00:00.000Z,28,5
17,2,Carlisle,Virginia,1900-10-13T00:00:00.000Z,17,2
43,0,Princeton,Syracuse,1900-10-17T00:00:00.000Z,43,0
46,5,Purdue,Rose-Hulman,1900-10-27T00:00:00.000Z,46,5
5,22,Iowa State,Grinnell,1900-11-03T00:00:00.000Z,22,5
63,2,Iowa,Grinnell,1900-11-16T00:00:00.000Z,63,2
68,5,Syracuse,Rochester,1900-11-17T00:00:00.000Z,68,5
5,39,Chicago,Wisconsin,1900-11-17T00:00:00.000Z,39,5
15,6,Chicago,Michigan,1900-11-29T00:00:00.000Z,15,6
11,7,Navy,Army,1900-12-01T00:00:00.000Z,11,7
56,0,Indiana,Rose-Hulman,1901-10-05T00:00:00.000Z,56,0
28,17,Syracuse,Amherst College,1901-10-26T00:00:00.000Z,28,17
128,0,Michigan,Buffalo,1901-10-26T00:00:00.000Z,128,0
51,0,Nebraska,Missouri,1901-11-09T00:00:00.000Z,51,0
11,11,Beloit College,Northwestern,1901-11-16T00:00:00.000Z,11,11
89,0,Michigan,Beloit College,1901-11-23T00:00:00.000Z,89,0
88,0,Michigan,Albion,1902-09-27T00:00:00.000Z,88,0
119,0,Michigan,Michigan State,1902-10-08T00:00:00.000Z,119,0
60,0,Michigan,Indiana,1902-10-11T00:00:00.000Z,60,0
81,0,Alabama,Marion,1902-10-13T00:00:00.000Z,81,0
5,44,Georgia Tech,Clemson,1902-10-18T00:00:00.000Z,44,5
17,24,Centre,Vanderbilt,1902-10-18T00:00:00.000Z,24,17
